"measurement","setosa","versicolor","virginica"
"sample34_Petal.Width",0.2,1.6,1.5
"sample34_Sepal.Length",5.5,6,6.3
"sample34_Sepal.Width",4.2,2.7,2.8
"sample35_Petal.Length",1.5,4.5,5.6
"sample35_Petal.Width",0.2,1.5,1.4
"sample35_Sepal.Length",4.9,5.4,6.1
"sample35_Sepal.Width",3.1,3,2.6
"sample36_Petal.Length",1.2,4.5,6.1
"sample36_Petal.Width",0.2,1.6,2.3
"sample36_Sepal.Length",5,6,7.7
"sample36_Sepal.Width",3.2,3.4,3
"sample37_Petal.Length",1.3,4.7,5.6
"sample37_Petal.Width",0.2,1.5,2.4
"sample37_Sepal.Length",5.5,6.7,6.3
"sample37_Sepal.Width",3.5,3.1,3.4
"sample38_Petal.Length",1.4,4.4,5.5
"sample38_Petal.Width",0.1,1.3,1.8
"sample38_Sepal.Length",4.9,6.3,6.4
"sample38_Sepal.Width",3.6,2.3,3.1
"sample39_Petal.Length",1.3,4.1,4.8
"sample39_Petal.Width",0.2,1.3,1.8
"sample39_Sepal.Length",4.4,5.6,6
"sample39_Sepal.Width",3,3,3
"sample4_Petal.Length",1.5,4,5.6
"sample4_Petal.Width",0.2,1.3,1.8
"sample4_Sepal.Length",4.6,5.5,6.3
"sample4_Sepal.Width",3.1,2.3,2.9
"sample40_Petal.Length",1.5,4,5.4
"sample40_Petal.Width",0.2,1.3,2.1
"sample40_Sepal.Length",5.1,5.5,6.9
"sample40_Sepal.Width",3.4,2.5,3.1
"sample41_Petal.Length",1.3,4.4,5.6
"sample41_Petal.Width",0.3,1.2,2.4
"sample41_Sepal.Length",5,5.5,6.7
"sample41_Sepal.Width",3.5,2.6,3.1
"sample42_Petal.Length",1.3,4.6,5.1
"sample42_Petal.Width",0.3,1.4,2.3
"sample42_Sepal.Length",4.5,6.1,6.9
"sample42_Sepal.Width",2.3,3,3.1
"sample43_Petal.Length",1.3,4,5.1
"sample43_Petal.Width",0.2,1.2,1.9
"sample43_Sepal.Length",4.4,5.8,5.8
"sample43_Sepal.Width",3.2,2.6,2.7
"sample44_Petal.Length",1.6,3.3,5.9
"sample44_Petal.Width",0.6,1,2.3
"sample44_Sepal.Length",5,5,6.8
"sample44_Sepal.Width",3.5,2.3,3.2
"sample45_Petal.Length",1.9,4.2,5.7
"sample45_Petal.Width",0.4,1.3,2.5
"sample45_Sepal.Length",5.1,5.6,6.7
"sample45_Sepal.Width",3.8,2.7,3.3
"sample46_Petal.Length",1.4,4.2,5.2
"sample46_Petal.Width",0.3,1.2,2.3
"sample46_Sepal.Length",4.8,5.7,6.7
"sample46_Sepal.Width",3,3,3
"sample47_Petal.Length",1.6,4.2,5
"sample47_Petal.Width",0.2,1.3,1.9
"sample47_Sepal.Length",5.1,5.7,6.3
"sample47_Sepal.Width",3.8,2.9,2.5
"sample48_Petal.Length",1.4,4.3,5.2
"sample48_Petal.Width",0.2,1.3,2
"sample48_Sepal.Length",4.6,6.2,6.5
"sample48_Sepal.Width",3.2,2.9,3
"sample49_Petal.Length",1.5,3,5.4
"sample49_Petal.Width",0.2,1.1,2.3
"sample49_Sepal.Length",5.3,5.1,6.2
"sample49_Sepal.Width",3.7,2.5,3.4
"sample5_Petal.Length",1.4,4.6,5.8
"sample5_Petal.Width",0.2,1.5,2.2
"sample5_Sepal.Length",5,6.5,6.5
"sample5_Sepal.Width",3.6,2.8,3
"sample50_Petal.Length",1.4,4.1,5.1
"sample50_Petal.Width",0.2,1.3,1.8
"sample50_Sepal.Length",5,5.7,5.9
"sample50_Sepal.Width",3.3,2.8,3
"sample6_Petal.Length",1.7,4.5,6.6
"sample6_Petal.Width",0.4,1.3,2.1
"sample6_Sepal.Length",5.4,5.7,7.6
"sample6_Sepal.Width",3.9,2.8,3
"sample7_Petal.Length",1.4,4.7,4.5
"sample7_Petal.Width",0.3,1.6,1.7
"sample7_Sepal.Length",4.6,6.3,4.9
"sample7_Sepal.Width",3.4,3.3,2.5
"sample8_Petal.Length",1.5,3.3,6.3
"sample8_Petal.Width",0.2,1,1.8
"sample8_Sepal.Length",5,4.9,7.3
"sample8_Sepal.Width",3.4,2.4,2.9
"sample9_Petal.Length",1.4,4.6,5.8
"sample9_Petal.Width",0.2,1.3,1.8
"sample9_Sepal.Length",4.4,6.6,6.7
"sample9_Sepal.Width",2.9,2.9,2.5
